Innings Player,Innings Runs Scored Num,not_out,Innings Balls Faced,Country,Opposition,Innings Date
RA Smith,167,1,163,England,Australia,1993/05/21
DI Gower,158,0,118,England,New Zealand,1983/01/15
CWJ Athey,142,1,172,England,New Zealand,1986/07/18
GA Gooch,142,0,134,England,Pakistan,1987/11/20
DL Amiss,137,0,147,England,India,1975/06/07
GA Gooch,136,0,162,England,Australia,1989/05/29
KWR Fletcher,131,0,147,England,New Zealand,1975/06/11
DI Gower,130,0,120,England,Sri Lanka,1983/06/11
GA Gooch,129,1,118,England,West Indies,1986/03/04
RA Smith,129,0,145,England,India,1993/03/04
RA Smith,128,0,168,England,New Zealand,1990/05/23
MA Atherton,127,0,160,England,West Indies,1995/05/28
GA Hick,126,1,118,England,Sri Lanka,1999/01/23
NV Knight,125,1,145,England,Pakistan,1996/09/01
W Larkins,124,0,126,England,Australia,1989/10/19
DI Gower,122,0,134,England,New Zealand,1983/01/13
NV Knight,122,0,130,England,West Indies,1998/03/29
AJ Lamb,118,0,121,England,Pakistan,1982/07/17
AD Brown,118,0,137,England,India,1996/05/26
CT Radley,117,1,140,England,New Zealand,1978/07/17
GA Gooch,117,1,164,England,Australia,1985/06/03
D Lloyd,116,1,159,England,Pakistan,1974/08/31
AJ Stewart,116,0,111,England,India,1997/12/11
MW Gatting,115,1,135,England,India,1984/12/05
GA Gooch,115,0,159,England,Australia,1985/06/01
GA Gooch,115,0,136,England,India,1987/11/05
DI Gower,114,1,122,England,Pakistan,1978/05/26
MA Atherton,113,1,149,England,Australia,1997/05/24
NH Fairbrother,113,0,109,England,West Indies,1991/05/27
NV Knight,113,0,132,England,Pakistan,1996/08/31
GA Gooch,112,1,152,England,New Zealand,1990/05/25
CWJ Athey,111,0,152,England,Australia,1987/01/18
DI Gower,109,0,85,England,New Zealand,1983/01/29
GA Hick,109,0,119,England,Australia,1999/01/26
AJ Lamb,108,1,106,England,New Zealand,1983/01/20
DL Amiss,108,0,146,England,Australia,1977/06/06
GA Gooch,108,0,113,England,Australia,1980/08/22
GA Hick,108,0,129,England,Australia,1999/01/17
BC Broad,106,0,140,England,New Zealand,1988/03/16
GA Hick,105,1,109,England,India,1993/03/05
G Boycott,105,0,124,England,Australia,1979/12/11
GA Hick,104,1,133,England,Netherlands,1996/02/22
DL Amiss,103,0,134,England,Australia,1972/08/24
RA Smith,103,0,105,England,India,1990/07/20
AJ Stewart,103,0,145,England,Pakistan,1992/05/22
AJ Lamb,102,0,105,England,New Zealand,1983/06/09
DI Gower,102,0,118,England,Australia,1985/06/03
DI Gower,101,1,100,England,Australia,1979/02/04
AJ Stewart,101,0,144,England,Zimbabwe,2000/07/18
AJ Lamb,100,1,105,England,Australia,1989/05/27
AJ Stewart,100,1,147,England,West Indies,2000/07/20
DL Amiss,100,0,121,England,New Zealand,1973/07/18
G Boycott,99,0,159,England,Australia,1980/08/20
AJ Lamb,99,0,109,England,India,1982/06/04
BC Broad,99,0,168,England,Pakistan,1987/05/21
AJ Lamb,97,1,140,England,New Zealand,1984/02/25
BC Broad,97,0,130,England,Pakistan,1987/01/05
AJ Stewart,97,0,123,England,Zimbabwe,2000/07/22
MW Gatting,96,0,131,England,Australia,1981/06/06
N Hussain,95,0,120,England,Bangladesh,2000/10/05
GA Gooch,94,0,129,England,New Zealand,1978/07/15
AJ Lamb,94,0,76,England,Australia,1983/01/23
NV Knight,94,0,136,England,Sri Lanka,1998/08/20
N Hussain,93,0,114,England,Australia,1999/01/17
DI Gower,92,1,96,England,New Zealand,1983/06/15
GA Gooch,92,0,137,England,West Indies,1987/10/26
MA Atherton,92,0,118,England,West Indies,1995/05/26
GA Gooch,91,0,102,England,New Zealand,1986/07/18
AJ Lamb,91,0,109,England,India,1989/10/25
RA Smith,91,0,108,England,India,1992/02/22
AJ Stewart,91,0,126,England,India,1993/01/18
GA Hick,91,0,120,England,Australia,1995/01/10
